Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
All Occupations,1.0,66790
Management Occupations,1.04,165830
Chief Executives,0.48,252880
General and Operations Managers,1.03,167160
Legislators,0.85,58600
Advertising and Promotions Managers,4.75,186040
Marketing Managers,1.63,188810
Sales Managers,1.21,195220
Public Relations and Fundraising Managers,1.39,179610
Administrative Services and Facilities Managers,1.24,140800
Computer and Information Systems Managers,1.25,196290
Financial Managers,1.31,208770
Industrial Production Managers,0.53,140940
Purchasing Managers,0.97,171560
"Transportation, Storage, and Distribution Managers",0.84,124710
Compensation and Benefits Managers,1.48,181770
Human Resources Managers,1.18,170070
Training and Development Managers,1.27,167850
"Farmers, Ranchers, and Other Agricultural Managers",0.23,103180
Construction Managers,0.73,148140
"Education and Childcare Administrators, Preschool and Daycare",1.05,80910
"Education Administrators, Kindergarten through Secondary",1.25,137080
"Education Administrators, All Other",0.76,113420
Architectural and Engineering Managers,0.55,172970
Food Service Managers,0.64,80940
Lodging Managers,0.32,93080
Medical and Health Services Managers,1.1,144370
Natural Sciences Managers,1.16,187570
Postmasters and Mail Superintendents,0.68,82690
"Property, Real Estate, and Community Association Managers",0.77,107190
Social and Community Service Managers,1.14,92150
Emergency Management Directors,0.88,103390
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",0.75,148070
Business and Financial Operations Occupations,1.23,99400
"Agents and Business Managers of Artists, Performers, and Athletes",3.13,100240
Buyers and Purchasing Agents,0.99,81450
"Claims Adjusters, Examiners, and Investigators",0.99,78430
"Insurance Appraisers, Auto Damage",1.05,66690
Compliance Officers,1.1,85940
Cost Estimators,0.75,81540
Human Resources Specialists,1.08,79240
Labor Relations Specialists,1.68,94590
Logisticians,0.76,85580
Management Analysts,1.17,116940
"Meeting, Convention, and Event Planners",1.42,72840
Fundraisers,1.31,73450
"Compensation, Benefits, and Job Analysis Specialists",1.69,88480
Training and Development Specialists,1.02,76580
Market Research Analysts and Marketing Specialists,1.68,83420
"Project Management Specialists and Business Operations Specialists, All Other",0.85,91390
Accountants and Auditors,1.43,102090
Property Appraisers and Assessors,0.59,77010
Budget Analysts,0.96,86420
Credit Analysts,1.74,120850
Personal Financial Advisors,1.95,165830
Insurance Underwriters,1.17,98950
Financial Examiners,2.76,125290
Credit Counselors,1.09,67500
Loan Officers,0.65,106090
"Tax Examiners and Collectors, and Revenue Agents",0.95,78710
Tax Preparers,1.06,65500
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",2.12,131690
Computer and Mathematical Occupations,1.05,106670
Computer Systems Analysts,1.14,114070
Information Security Analysts,1.07,127850
Computer and Information Research Scientists,0.89,137190
Computer Network Support Specialists,1.1,86440
Computer User Support Specialists,1.01,65800
Computer Network Architects,1.01,129900
Network and Computer Systems Administrators,1.16,105050
Database Administrators and Architects,1.08,113040
Computer Programmers,1.15,98070
Software Developers and Software Quality Assurance Analysts and Testers,1.09,122230
Web Developers and Digital Interface Designers,1.38,89110
"Computer Occupations, All Other",0.47,91370
Actuaries,1.6,147760
Mathematicians,1.34,119160
Operations Research Analysts,1.13,112630
Statisticians,0.66,107150
"Data Scientists and Mathematical Science Occupations, All Other",1.33,125030
Architecture and Engineering Occupations,0.56,96300
"Architects, Except Landscape and Naval",1.69,105670
Landscape Architects,1.09,79530
Cartographers and Photogrammetrists,0.24,88100
Surveyors,0.69,84970
Bioengineers and Biomedical Engineers,0.43,112340
Chemical Engineers,0.42,115730
Civil Engineers,0.78,106430
Computer Hardware Engineers,0.41,122680
Electrical Engineers,0.65,114150
"Electronics Engineers, Except Computer",0.49,110490
Environmental Engineers,0.65,102330
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.91,103930
Industrial Engineers,0.4,105010
Marine Engineers and Naval Architects,0.36,128750
Materials Engineers,0.37,102510
Mechanical Engineers,0.41,98670
"Engineers, All Other",0.53,102860
Architectural and Civil Drafters,1.06,63970
Electrical and Electronics Drafters,0.66,78730
Mechanical Drafters,0.53,66160
"Drafters, All Other",0.59,68160
Civil Engineering Technologists and Technicians,0.4,61090
Electrical and Electronic Engineering Technologists and Technicians,0.53,72660
Electro-Mechanical and Mechatronics Technologists and Technicians,0.24,67950
Environmental Engineering Technologists and Technicians,0.41,56530
Industrial Engineering Technologists and Technicians,0.32,58090
Mechanical Engineering Technologists and Technicians,0.33,56730
Surveying and Mapping Technicians,0.23,60340
"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",0.33,67800
"Life, Physical, and Social Science Occupations",0.91,91410
Food Scientists and Technologists,1.51,81680
Soil and Plant Scientists,0.1,86570
Biochemists and Biophysicists,3.47,147350
Microbiologists,0.71,79580
Zoologists and Wildlife Biologists,0.16,82190
"Biological Scientists, All Other",0.29,87900
Conservation Scientists,0.25,85810
Foresters,0.13,67230
Epidemiologists,0.51,108170
"Medical Scientists, Except Epidemiologists",0.97,113100
"Life Scientists, All Other",0.78,83670
Physicists,0.93,151840
Atmospheric and Space Scientists,0.85,106780
Chemists,1.5,94770
Materials Scientists,0.6,108680
"Environmental Scientists and Specialists, Including Health",0.73,84720
"Geoscientists, Except Hydrologists and Geographers",0.25,83640
Hydrologists,0.41,93730
"Physical Scientists, All Other",0.54,103790
Economists,0.64,149360
Survey Researchers,0.87,79660
"Clinical, Counseling, and School Psychologists",1.39,100320
"Psychologists, All Other",0.5,98450
Sociologists,0.81,87160
Urban and Regional Planners,0.54,89880
Anthropologists and Archeologists,0.19,71760
Historians,0.56,58820
Political Scientists,0.19,134000
"Social Scientists and Related Workers, All Other",0.83,93150
Agricultural and Food Science Technicians,0.25,48280
Biological Technicians,0.52,54160
Chemical Technicians,1.03,57930
"Environmental Science and Protection Technicians, Including Health",0.88,55260
Geological and Hydrologic Technicians,0.33,115210
Nuclear Technicians,0.2,111440
Social Science Research Assistants,1.65,58310
Forensic Science Technicians,0.61,67880
"Life, Physical, and Social Science Technicians, All Other",1.71,59300
Occupational Health and Safety Specialists,0.57,83620
Occupational Health and Safety Technicians,0.71,64420
Community and Social Service Occupations,1.22,57300
"Educational, Guidance, and Career Counselors and Advisors",1.15,73700
Marriage and Family Therapists,0.97,68080
Rehabilitation Counselors,0.68,41870
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",0.89,58750
"Counselors, All Other",0.72,64440
"Child, Family, and School Social Workers",1.16,63590
Healthcare Social Workers,1.23,63980
Mental Health and Substance Abuse Social Workers,1.17,68300
"Social Workers, All Other",0.87,70180
Health Education Specialists,0.77,61110
Probation Officers and Correctional Treatment Specialists,0.71,73580
Social and Human Service Assistants,1.6,39050
Community Health Workers,1.45,48190
"Community and Social Service Specialists, All Other",2.18,57410
Clergy,1.43,61600
"Directors, Religious Activities and Education",2.77,53650
"Religious Workers, All Other",1.51,38930
Legal Occupations,1.57,141800
Lawyers,1.9,174720
Judicial Law Clerks,0.47,66980
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.36,110810
"Arbitrators, Mediators, and Conciliators",1.08,87800
"Judges, Magistrate Judges, and Magistrates",0.87,165940
Paralegals and Legal Assistants,1.34,60430
"Title Examiners, Abstractors, and Searchers",0.44,66310
"Legal Support Workers, All Other",0.71,63830
Educational Instruction and Library Occupations,1.18,73390
"Business Teachers, Postsecondary",1.42,120880
"Computer Science Teachers, Postsecondary",1.37,117320
"Mathematical Science Teachers, Postsecondary",1.2,115640
"Architecture Teachers, Postsecondary",1.95,141050
"Engineering Teachers, Postsecondary",0.84,130440
"Agricultural Sciences Teachers, Postsecondary",0.24,102500
"Biological Science Teachers, Postsecondary",1.24,109580
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.19,122970
"Chemistry Teachers, Postsecondary",1.53,112020
"Environmental Science Teachers, Postsecondary",1.45,114870
"Physics Teachers, Postsecondary",1.26,124600
"Anthropology and Archeology Teachers, Postsecondary",1.73,116430
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.77,114880
"Economics Teachers, Postsecondary",1.74,136150
"Geography Teachers, Postsecondary",0.35,78030
"Political Science Teachers, Postsecondary",1.31,128200
"Psychology Teachers, Postsecondary",1.51,102170
"Sociology Teachers, Postsecondary",1.59,108520
"Social Sciences Teachers, Postsecondary, All Other",2.32,119490
